image,den_file,PSNR,SSIM,MSE,MAE
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma10_gaussian.png,33.485247192150915,0.9095451155255104,29.144437789916992,3.5157501697540283
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma10_median.png,33.20705524939903,0.8858144288519868,31.072412490844727,3.4717202186584473
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma10_nlm.png,32.269178775171945,0.868611312161106,38.56226348876953,4.206307411193848
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma20_gaussian.png,31.244748054865884,0.8274880967956153,48.820865631103516,5.211299419403076
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma20_median.png,30.99758694060675,0.785418448979204,51.67991638183594,5.072399139404297
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma20_nlm.png,27.366471113148485,0.7341042813064315,119.24307250976562,7.350433826446533
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma30_gaussian.png,28.94395928081206,0.7334672968399548,82.92475891113281,7.1347479820251465
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma30_median.png,28.96687196689234,0.6774016816564994,82.48847961425781,6.73176908493042
Kim-Ji-Won-6,Kim-Ji-Won-6_gauss_sigma30_nlm.png,23.75231211087836,0.6289241227416914,274.062255859375,11.059602737426758
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p1_gaussian.png,32.708813858051684,0.8765356500467739,34.849700927734375,3.197303056716919
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p1_median.png,34.69907930909163,0.9386661818460119,22.03801155090332,1.9676917791366577
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p1_nlm.png,24.980470359841036,0.7537866517291261,206.5538787841797,4.057652473449707
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p3_gaussian.png,30.206364447012465,0.7713936292245913,62.007476806640625,4.886232376098633
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p3_median.png,34.6160692759352,0.9381147456177161,22.463300704956055,2.0064334869384766
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p3_nlm.png,20.341242423635304,0.5068683150247919,601.1129760742188,6.190395832061768
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p5_gaussian.png,28.43258106709799,0.6915037841712114,93.28722381591797,6.428534984588623
Kim-Ji-Won-6,Kim-Ji-Won-6_sp_p5_median.png,34.511933770463074,0.9375249169004419,23.0084285736084,2.0454933643341064
